Row,Vin,Year,Make,Model
A08,19UYA41633A001315,2003,ACURA,CL
A07,19UUA566X3A015175,2003,ACURA,TL
A13,JH4UA3644VC003823,1997,ACURA,TL
A14,19UUA564XXA008229,1999,ACURA,TL
A14,JH4KB16555C018445,2005,ACURA,RL
B07,1J4GZ78YXPC639576,1993,JEEP,GRANDCHER
A19,1J4EZ58S8TC152720,1996,JEEP,CHERGRAND
B07,1J4GZ78S5SC529796,1995,JEEP,GRANDCHER
B08,1J4GL58K36W286080,2006,JEEP,LIBERTY
B08,1J4GW68N8XC696738,1999,JEEP,CHERGRAND
B07,1J4GL48K12W226884,2002,JEEP,LIBERTY
B07,1J4GZ58S4PC692807,1993,JEEP,GRANDCHER
B07,1J4GL48KX3W575883,2003,JEEP,LIBERTY
B06,1J8GW68J93C530119,2003,JEEP,GRANDCHER
B07,1J4GZ78Y4WC335139,1998,JEEP,CHERGRAND
B08,1J4GL48KX4W279215,2004,JEEP,LIBERTY
B07,1J4GW48N24C339278,2004,JEEP,CHERGRAND
B07,1J4GL48K25W692053,2005,JEEP,LIBERTY
B01,1J4GW48N7YC133671,2000,JEEP,CHERGRAND
B06,1J8GR48K47C559683,2007,JEEP,GRANDCHER
B02,1J4GK48K43W568561,2003,JEEP,LIBERTY
B08,1J4GZ58S1WC150546,1998,JEEP,CHERGRAND
B03,1J8GW58J04C150064,2004,JEEP,CHERGRAND
B07,1J4HR48N46C182481,2006,JEEP,GRANDCHER
B06,1J8GL58K23W683645,2003,JEEP,LIBERTY
B02,1J4GW58NX4C236972,2004,JEEP,CHERGRAND
B08,1J4GW58N81C654376,2001,JEEP,CHERGRAND
B08,1J4GW48N71C610203,2001,JEEP,CHERGRAND
A01,8592005347,1978,AUDI,FOX
A03,WA1YD64B73N045749,2003,AUDI,A6ALLROAD
A08,WAUDF68E85A469175,2005,AUDI,A4 AUDI
A03,WAUVC68E43A386207,2003,AUDI,A4 AUDI
A14,WAUML44E56N025460,2006,AUDI,A8 AUDI
A05,WAUJT64B23N084515,2003,AUDI,A6 AUDI
A14,WBADT63413CK33072,2003,BMW,530I
A04,WBXPA93425WD16749,2005,BMW,X3
A15,WBADE6329WBW57991,1998,BMW,540I
A04,WBADM6349YGU14675,2000,BMW,528I
A06,5UXFA53562LP50546,2002,BMW,X5
B03,3C8FY68B62T267207,2002,CHRYSLER,PTCRUISER
B01,3C4FY4BB21T506507,2001,CHRYSLER,PTCRUISER
B08,2C4RC1BG0ER112695,2014,CHRYSLER,TOWN COUN
B06,3C4FY48B63T627387,2003,CHRYSLER,PTCRUISER
B07,3C8FY68B24T366402,2004,CHRYSLER,PTCRUISER
B03,1C3EJ56H1YN184977,2000,CHRYSLER,CIRRUS
B02,1C3EL56R42N228240,2002,CHRYSLER,SEBRING
B01,3A4FY58B07T617380,2007,CHRYSLER,PTCRUISER
B07,3C8FY68B02T261225,2002,CHRYSLER,PTCRUISER
B07,2C4GP44R85R520082,2005,CHRYSLER,TOWN COUN
B01,2C4GF68405R508912,2005,CHRYSLER,PACIFICA
B06,3C4FY78G53T585338,2003,CHRYSLER,PTCRUISER
B03,1P3ES46C41D272554,2001,CHRYSLER,NEON-CHRY
B07,2C3AE66G01H709333,2001,CHRYSLER,300M
B02,2C3HD56F6TH316989,1996,CHRYSLER,CONCORDE
B02,3A4FY58B37T545056,2007,CHRYSLER,PTCRUISER
B02,3C4FY58B12T334016,2002,CHRYSLER,PTCRUISER
B06,2C4GP44R65R558684,2005,CHRYSLER,TOWN COUN
B06,1C3CCBBB8DN501858,2013,CHRYSLER,200
B02,3C4FY58B13T590268,2003,CHRYSLER,PTCRUISER
B03,3C3XA5630MT554095,1991,CHRYSLER,LEBARON
B03,2A8GF68X77R350705,2007,CHRYSLER,PACIFICA
B03,2C3HE66GXYH347973,2000,CHRYSLER,300M
B08,2A4GP64L46R672251,2006,CHRYSLER,TOWN COUN
B08,2C8GF684X4R182727,2004,CHRYSLER,PACIFICA
A01,N555225,1955,CHRYSLER,NEW YORK
B02,3C4FY48B05T616310,2005,CHRYSLER,PTCRUISER
B06,2C3KA53G06H525984,2006,CHRYSLER,300
B06,2A4GP44R06R873380,2006,CHRYSLER,TOWN COUN
B07,2C8GP64L42R693468,2002,CHRYSLER,TOWN COUN
B06,1A4GP45R16B739636,2006,CHRYSLER,TOWN COUN
B02,2A4GP54L66R796760,2006,CHRYSLER,TOWN COUN
B02,2A4GP44R46R660562,2006,CHRYSLER,TOWN COUN
B08,2A4GP54L36R729095,2006,CHRYSLER,TOWN COUN
B07,2A4GP44R06R629132,2006,CHRYSLER,TOWN COUN
B06,1C3AL56R03N537736,2003,CHRYSLER,SEBRING
B01,1C3EJ56H1WN296742,1998,CHRYSLER,CIRRUS
B02,1C3EJ56HXWN307818,1998,CHRYSLER,CIRRUS
B07,1B3EL36X02N241275,2002,DODGE,STRATUS
B03,1B3ES47C1WD730929,1998,DODGE,NEON-DODG
B06,4B3AG52H84E073951,2004,DODGE,STRATUS
A02,470021,1937,DODGE,DODGE
B02,1B3ES42C9TD702721,1996,DODGE,NEON-DODG
B06,1B3ES26C13D169911,2003,DODGE,NEON
B01,2B3HD46T3VH528880,1997,DODGE,INTREPID
B08,1P3ES46C11D194072,2001,DODGE,NEON-DODG
A02,NL45D8B275286,1978,DODGE,ASPEN
B08,1B3CB3HA4BD209325,2011,DODGE,CALIBER
B01,2B3HD56M92H140837,2002,DODGE,INTREPID
B08,1B3ES56C22D652839,2002,DODGE,NEON
B08,1B3HB28C89D125780,2009,DODGE,CALIBER
B01,1B3ES56C73D139040,2003,DODGE,NEON
B02,2B3HD46R02H143633,2002,DODGE,INTREPID
B06,1B3EL46X05N701917,2005,DODGE,STRATUS
B07,1B3CC4FBXAN106191,2010,DODGE,AVENGER
B06,1C3CDZAB3CN209783,2012,DODGE,AVENGER
B03,2B3HD46R61H640166,2001,DODGE,INTREPID
B06,1B3HB48B08D670891,2008,DODGE,CALIBER
B07,2B3HD56J9YH194962,2000,DODGE,INTREPID
B07,1B3EJ46X1YN192141,2000,DODGE,STRATUS
B08,1P3XP24D2NN263121,1992,CHRYSLER,SUNDANCE
A01,BP29D62587337,1966,CHRYSLER,BARRACUDA
A02,15929685,1956,CHRYSLER,PLYMOUTH
B03,1B4HS28Z2XF588807,1999,DODGE,DURANGO
B01,1B7GL26X3LS614412,1990,DODGE,DAKOTA
B08,1B7GG22Y9XS188637,1999,DODGE,DAKOTA
B01,1B7GG2AX0YS594414,2000,DODGE,DAKOTA
B07,1B4GH44R4NX164063,1992,DODGE,CARAVAN
B08,W27JF9C100404,1979,DODGE,TDOD100
B02,1B7GG23Y0VS211508,1997,DODGE,DAKOTA
A01,1287063239,1968,DODGE,TDOD100
B06,1B4HS28Z5XF602909,1999,DODGE,DURANGO
B06,1B7FL26X7NS655480,1992,DODGE,DAKOTA
B01,1B7GG22X71S224727,2001,DODGE,DAKOTA
B08,1D8HB58D04F175029,2004,DODGE,DURANGO
B08,1D7HU16N94J110230,2004,DODGE,RAM1500
B06,2B8GT54L01R393511,2001,DODGE,CARAVAN
B07,1B7GG23X2VS313822,1997,DODGE,DAKOTA
B07,1D4HB38N84F155707,2004,DODGE,DURANGO
B08,2D4GP44L26R872347,2006,DODGE,CARAVAN
B03,1D7HU18P96J232734,2006,DODGE,RAM1500
B08,1D8HD48N07F512316,2007,DODGE,DURANGO
B06,1D8HB48D24F156055,2004,DODGE,DURANGO
A01,LL41C6F105994,1976,DODGE,TDODALL
B01,2B4GP74L71R286361,2001,DODGE,CARAVAN
B03,2B4GP44R92R636142,2002,DODGE,CARAVAN
B07,1B7HC16X3WS704517,1998,DODGE,RAM1500
B08,1D4HR38N33F613258,2003,DODGE,DURANGO
B08,2D4GP44L35R364919,2005,DODGE,CARAVAN
B01,1B7JF26Z0RS542088,1994,DODGE,RAM2500
B08,1B4FK54R2LX205905,1990,DODGE,CARAVAN
B08,2B8GT44L32R642346,2002,DODGE,CARAVAN
B08,1D4GP45R85B110284,2005,DODGE,CARAVAN
B02,1B4GP54L6WB626383,1998,DODGE,CARAVAN
B06,1B4GK54R7LX294648,1990,DODGE,CARAVAN
B06,1B4GP25352B544815,2002,DODGE,CARAVAN
B06,1D4GP24R75B384131,2005,DODGE,CARAVAN
B06,1B4GP54L7WB715718,1998,DODGE,CARAVAN
B07,W14BJ8S104615,1978,DODGE,TDOD150
B07,2B4GP54L32R767262,2002,DODGE,CARAVAN
B02,1D4GP24R25B247503,2005,DODGE,CARAVAN
B08,1B4GP54G8YB678457,2000,DODGE,CARAVAN
B06,1D4GP24R07B116797,2007,DODGE,CARAVAN
B01,1B4GP44L2YB752057,2000,DODGE,CARAVAN
B06,2D4GP44L37R307140,2007,DODGE,CARAVAN
B06,1B4GP44R0YB768276,2000,DODGE,CARAVAN
B07,3B7HF13Z21M273215,2001,DODGE,RAM1500
B07,1B7HC13Z41J553174,2001,DODGE,RAM1500
B06,3B7HF13Z51M264606,2001,DODGE,RAM1500
B06,1P4GP44G3YB546294,2000,PLYMOUTH,CHRVOYGER
B01,2P4FP25B5YR532840,2000,PLYMOUTH,CHRVOYGER
B02,1C4GJ44GXYB636497,2000,PLYMOUTH,CHRVOYGER
B01,1J4NF4FB4AD649616,2010,PLYMOUTH,COMPASS
A05,3N1AB41D3VL030100,1997,DATSUN - NISSAN,SENTRA
A15,5N1ED28Y3YC605877,2000,DATSUN - NISSAN,XTERRA
A01,PL620804785,1974,DATSUN - NISSAN,TDATSUN
A07,3N1BC1CP7AL362977,2010,DATSUN - NISSAN,VERSA
A01,399364865,1971,DATSUN - NISSAN,DATSUNALL
A04,JN8AS5MV8AW609048,2010,DATSUN - NISSAN,ROGUE
A08,JN8AR05Y0TW044353,1996,DATSUN - NISSAN,PATHFINDR
A15,JN8DR07Y31W517931,2001,DATSUN - NISSAN,PATHFINDR
A04,JN8AZ08W87W612705,2007,DATSUN - NISSAN,MURANO
A07,JN8HD17Y6SW056652,1995,DATSUN - NISSAN,PATHFINDR
A13,5N1BV28U79N103036,2009,DATSUN - NISSAN,QUEST
A03,1N4AL11D46N414189,2006,DATSUN - NISSAN,ALTIMA
A04,1N6ND11S4JC341575,1988,DATSUN - NISSAN,TNISSAN
A05,KHL620350375,1978,DATSUN - NISSAN,TDATSUN
A06,JN1EB31P3MU018510,1991,DATSUN - NISSAN,SENTRA
A08,1N6SD16S1PC323121,1993,DATSUN - NISSAN,TNISSAN
A08,1N6AA06B14N559430,2004,DATSUN - NISSAN,TITAN
A07,1N4AB41D8WC756177,1998,DATSUN - NISSAN,SENTRA
A03,JN8AS58V08W119157,2008,DATSUN - NISSAN,ROGUE
A04,1N4AL21EX9N466820,2009,DATSUN - NISSAN,ALTIMA
A06,1N4DL01D3WC249531,1998,DATSUN - NISSAN,ALTIMA
A05,1N4AL2AP2BN408286,2011,DATSUN - NISSAN,ALTIMA
A05,1N4AL2AP7CC209926,2012,DATSUN - NISSAN,ALTIMA
A04,JN8AZ08W26W522111,2006,DATSUN - NISSAN,MURANO
A13,JN8AZ08W24W338669,2004,DATSUN - NISSAN,MURANO
A10,JN1CA21D6VM510296,1997,DATSUN - NISSAN,MAXIMA
A15,JN1CA31D4YT737602,2000,DATSUN - NISSAN,MAXIMA
A02,M6RG195312,1956,FORD,THUNDERBI
B16,1FALP54P9PA240848,1993,FORD,TAURUS
B12,2FAFP71W9WX175753,1998,FORD,CROWN VIC
B13,3FAHP07Z89R140979,2009,FORD,FUSION
A02,5K48C118009,1960,FORD,FAIRLANE
B13,2FMZA5247YBC93161,2000,FORD,WINDSTAR
B11,1FALP54P4RA254353,1994,FORD,TAURUS
B09,3FASP15J6SR118512,1995,FORD,ESCORT
B17,3FADP0L30AR288807,2010,FORD,FUSION
B15,1FAFP53U56A223810,2006,FORD,TAURUS
B16,1FAHP53U91G156708,2001,FORD,TAURUS
B13,1FAFP6636XK108220,1999,FORD,CONTOUR
A01,2J68N128609,1972,FORD,LTD
B15,2FMZA522X6BA04964,2006,FORD,FREESTAR
B14,1FAFP53U05A101631,2005,FORD,TAURUS
B17,3FADP4BJ1GM159813,2016,FORD,FIESTA
B11,3FAHP0CG7AR241942,2010,FORD,FUSION
B11,1FAFP53U16A132422,2006,FORD,TAURUS
B15,1FAFP55U81A214976,2001,FORD,TAURUS
B17,1FAHP2JW5AG165490,2010,FORD,TAURUS
B14,2FMZA51411BB73928,2001,FORD,WINDSTAR
B10,KNJPT05H0M6119431,1991,FORD,FESTIVA
B12,1FAFP53U95A304193,2005,FORD,TAURUS
B10,3FAKP1136XR118217,1999,FORD,ESCORT
A02,6H42T123471,1966,FORD,FAIRLANE
B16,1FAHP35N58W189103,2008,FORD,FOCUS
B09,1FAFP55231G245886,2001,FORD,TAURUS
B15,2FABP74F6HX204560,1987,FORD,COUNTRY S
B12,2FMZA51471BA88690,2001,FORD,WINDSTAR
B12,1FALP52U0SG312177,1995,FORD,TAURUS
B12,1FMZK02126GA59800,2006,FORD,FREESTYLE
B17,3FAFP3135YR251159,2000,FORD,FOCUS
B16,2FMDK38C57BA60842,2007,FORD,EDGE
B15,1FAHP3FN5AW148457,2010,FORD,FOCUS
B10,1FAFP13P9WW251048,1998,FORD,ESCORT
B15,1FALP57U2TG159795,1996,FORD,TAURUS
B13,1FAFP34N67W353028,2007,FORD,FOCUS
B15,1FALP54Y2SA295594,1995,FORD,TAURUS
B13,2FMDK49C58BB38056,2008,FORD,EDGE
B11,1FAFP343XYW342761,2000,FORD,FOCUS
B10,1FAPP15J6PW361859,1993,FORD,ESCORT
B17,1FAHP3FN2AW292757,2010,FORD,FOCUS
B10,1FAFP13P1WW184963,1998,FORD,ESCORT
B12,1FALP53S5TG197039,1996,FORD,TAURUS
B11,1FAHP36N27W124335,2007,FORD,FOCUS
B16,1FALP5224VG294673,1997,FORD,TAURUS
B14,1FARP15J9RW252937,1994,FORD,ESCORT
B15,1FAFP36PXYW101590,2000,FORD,FOCUS
B12,3FADP4EJ5BM143182,2011,FORD,FIESTA
B14,1FAFP4045YF209197,2000,FORD,MUSTANG
B13,1FADP3E21GL246675,2016,FORD,FOCUS
B14,1FALP57U1TG262559,1996,FORD,TAURUS
B14,1FAFP31N17W326906,2007,FORD,FOCUS
B13,1FAFP55S52G127226,2002,FORD,TAURUS
B12,1FAHP34P22W287080,2002,FORD,FOCUS
B12,3FAHP31301R165806,2001,FORD,FOCUS
B16,75X112116168,1977,FORD,PINTO
B15,1FMZK06115GA56637,2005,FORD,FREESTYLE
B11,1ZVHT80N185123189,2008,FORD,MUSTANG
B16,1FAFP55263G232102,2003,FORD,TAURUS
B14,1FAFP4049XF163145,1999,FORD,MUSTANG
B09,1FAFP55252G244790,2002,FORD,TAURUS
B11,1FAFP31N06W177709,2006,FORD,FOCUS
B09,3FAFP31301R237403,2001,FORD,FOCUS
B16,3FAKP1136YR140591,2000,FORD,ESCORT
B15,1FMDK05135GA66789,2005,FORD,FREESTYLE
B13,3FAHP08167R169712,2007,FORD,FUSION
B16,1FAFP55U33G121928,2003,FORD,TAURUS
B10,2FABP74F0KX230370,1989,FORD,CROWN VIC
B15,1FAFP53UX2G272699,2002,FORD,TAURUS
B11,1FAFP40441F217989,2001,FORD,MUSTANG
A02,8J74Y177458,1968,FORD,GALAXIE
B12,3FAFP13P92R125074,2002,FORD,ESCORT
B17,1FAHP24W98G146172,2008,FORD,TAURUS
B15,3FAHP08108R162997,2008,FORD,FUSION
B11,1FAFP53U33G216153,2003,FORD,TAURUS
A01,7J87H174996,1977,FORD,THUNDERBI
B10,1FAFP55222G216719,2002,FORD,TAURUS
B14,1FAFP40411F126193,2001,FORD,MUSTANG
B11,1FAFP53S2XG230436,1999,FORD,TAURUS
B15,1FAFP36383W157503,2003,FORD,FOCUS
B11,1FAFP55212G251431,2002,FORD,TAURUS
B11,1FAFP28185G119577,2005,FORD,FIVEHUNDR
B17,1FAFP55S73G219360,2003,FORD,TAURUS
B12,1FALP62W2RH165730,1994,FORD,THUNDERBI
B16,1FAFP55SX4G192690,2004,FORD,TAURUS
B12,1FAFP40441F212730,2001,FORD,MUSTANG
B16,1FAFP53S6XG155689,1999,FORD,TAURUS
B09,1FAFP34333W181226,2003,FORD,FOCUS
B16,1FAFP55S94A162020,2004,FORD,TAURUS
B16,1FADP3K22DL196353,2013,FORD,FOCUS
B16,2FMGK5CC8ABB36335,2010,FORD,FLEX
B13,3FAFP37363R112058,2003,FORD,FOCUS
B11,1FAFP55SX4G196500,2004,FORD,TAURUS
B10,1FAFP363X3W308373,2003,FORD,FOCUS
B13,1FAFP5824YG181508,2000,FORD,TAURUS
B16,1FAFP34N05W143764,2005,FORD,FOCUS
B14,1FAFP56S64A130897,2004,FORD,TAURUS
B17,3FAFP31NX5R120242,2005,FORD,FOCUS
B10,1FAPP11J9NW141411,1992,FORD,ESCORT
B10,1FAFP34N15W285248,2005,FORD,FOCUS
B15,3FAFP66Z2YM109914,2000,FORD,CONTOUR
B14,3FAFP08146R107795,2006,FORD,FUSION
B13,3FADP4BJ5CM221059,2012,FORD,FIESTA
B11,1ZVLT20A8V5149689,1997,FORD,PROBE
B09,1FAFP34Z64W175362,2004,FORD,FOCUS
B13,1FALP4046TF108522,1996,FORD,MUSTANG
B15,1FALP4043TF156558,1996,FORD,MUSTANG
B09,1FAFP40423F372883,2003,FORD,MUSTANG
B14,3LNHM26146R613505,2006,LINCOLN,ZEPHYR
B09,1LNHM82W11Y634830,2001,LINCOLN,TOWN CAR
